dts,rv_1,rv_2,rv_3,rv_4,rv_5,rv_6,rv_7,rv_8,rv_9,rv_10,rv_11,rv_12,rv_13,rv_14,rv_15,rv_16,rv_17,rv_18,rv_19,rv_20,rv_21,rv_22,rv_23,rv_24,rv_25,rv_26,rv_27,rv_28,rv_29,rv_30
31/01/2000,0.000827648668618539,0.000402295025147839,0.000502656684415772,0.000963705010629481,0.000542361585805109,0.000396095427846628,0.000619382656702118,0.000642663683248339,0.000540135887240541,0.000524178428491591,0.000727080996864722,0.00153835096465088,0.000470489439904615,0.000356489121229278,0.000235945234640759,0.000753658238463478,0.000408461442529014,0.00119258927146969,0.000407013099677859,0.000492942392352232,0.000818943438835688,0.000696916171125449,0.00059044074370087,0.000324189383074644,0.000418023626177334,0.000241897367473782,0.00118200207300041,0.0031159847943936,0.000744799935420198,0.000328100246200143
01/02/2000,0.000527226676605988,0.000341312353855897,0.00092978662982179,0.000374467435468905,0.000736090259897306,0.000313363889767587,0.000165821491948638,0.000932865303526728,0.000453895692577529,0.000323904277770086,0.000390092120106677,0.000986864998204103,0.000338999899997175,0.000210813396112524,0.000268303908273939,0.000510645895432888,0.000312315449174655,0.000666678644192053,0.000410399138378475,0.000756125422288525,0.00056921615700333,0.000605764037265297,0.000331752124681997,0.000475468626061149,0.000285955054955535,0.000208877428175762,0.000412617043945113,0.00162297323023306,0.000897502577310578,0.000299535143593982
02/02/2000,0.000541047434597642,0.000591965830797996,0.000965805635425158,0.000223175172334897,0.000277942400469566,0.000566602093468355,0.000190033185664919,0.000438001699862543,0.000506603211991909,0.000290641634067699,0.00047489151435733,0.000553946618511166,0.000603315637869626,0.000309164979001095,0.000498813574185998,0.000486023577261688,0.000370629684564638,0.000233453038604525,0.000438861404933032,0.000528317224332168,0.000529725720163578,0.00103968972986856,0.00035283213864658,0.000665730417279413,0.000296228118583548,0.000129604863077768,0.00045299631168855,0.000228576493124047,0.00137572081900726,0.000282471110817354
03/02/2000,0.000519367520728184,0.000414958941422349,0.000777275069705414,0.000470422790246169,0.000203913529744803,0.000481085745340934,0.00030949184090845,0.000345303745885038,0.000198017092280348,0.00107389994279794,0.000653598708509721,0.000306229655872054,0.000799307011525133,0.000282478957760781,0.000457628834213553,0.000711277767391805,0.000447497575141869,0.000426193155065599,0.000365819249473622,0.00037190879115026,0.000648888824717564,0.000327356249512849,0.000963638045778692,0.000335309632526045,0.000347710300243978,0.000201761367912381,0.000430119481867582,0.000751787570254191,0.00092132690795599,0.000147700302045885
04/02/2000,0.000139931334017838,0.00027517390803773,0.000488387258466437,0.000272516937892463,0.00026784431506461,0.000487515487511036,0.000337361835932635,0.000474041115707586,0.000285640225993207,0.000253812108813637,0.000504801922359162,0.000290351303724763,0.000330453802208587,0.000221967017177209,0.000461341555477923,0.00041689512580715,0.00022571882145872,0.000731529903157368,0.000305147902780043,0.00042731509482272,0.000566433636611713,0.000380960824942245,0.000865493335062468,0.000192812802229146,0.000415542354187955,0.000293592218203566,0.00027474210227893,0.000378057673630399,0.000701248424275266,0.000236550232932824
07/02/2000,0.000605975862255016,0.000282376476909427,0.000554973411117478,0.000300621093267788,0.000545074066079256,0.000447566195140979,0.000133270796411648,0.000299145980801915,0.000279914834984353,0.000216424549259191,0.000425934327532564,0.000187806271528742,0.000368573723072175,0.000228177335399356,0.000325415831569159,0.000815524438645917,0.000209792986790749,0.00050410718628817,0.000368462180171288,0.000527464353227781,0.000503494641732731,0.000367206299521958,0.000356579385801938,0.000695404124179405,0.000181096047405853,0.000152227433495346,0.000384838847249005,0.000896769103738409,0.000603957908378263,6.1224415530879e-05
08/02/2000,0.000441493226490662,0.000412550657843977,0.000659686844540999,0.000316397067944694,0.000485333801067292,0.000444931966240015,0.000233924871059294,0.000227590549416509,0.000167073284022306,0.000333056596271141,0.000286690488973611,0.000390774149619243,0.000492030934978383,0.000102898836206729,0.000291500132827344,0.00153249658754976,0.000208026410456545,0.000349204798091712,0.000170882129001616,0.000840693403180642,0.000320407457418126,0.000269600039838217,0.000353272581774378,0.00215463541271715,0.000269524323865404,0.000426762637649084,0.000213186618355262,0.000207022899523731,0.00133125417325591,0.00022947352540778
09/02/2000,0.000435737486106758,0.000219026788120301,0.000547989820988695,0.000333689200656593,0.00113742673338568,0.000369853883541258,0.000329491653524042,0.000411806759403983,0.000450531477807767,0.000403416092604771,0.000256305372646089,0.00118080215349711,0.000238008323493536,0.000157216253283406,0.000292070422471431,0.00113853119132399,0.000405450816537641,0.000864671729692675,0.00032573924184784,0.000916955562555151,0.000535803006704189,0.000338487169416435,0.000172923265228602,0.00204200002101939,0.000603407874057555,0.00041351442231953,0.000376670116953818,0.000110370227927489,0.000768199672604403,0.000259747212571514
10/02/2000,0.000316141927600432,0.000277823639906352,0.000348573773006093,0.000440798091598991,0.00112770307589272,0.000586110785739822,0.000376057048121526,0.000659201959718786,0.000319117720756648,0.00032031251883605,0.000227399997338333,0.000732211528553853,0.000509490731084636,0.00013047034803,0.000390143166879869,0.000300723115068886,0.000608528117157982,0.000601531379266951,0.00025098486625176,0.00117122051942714,0.000546756084410536,0.000228221146289713,0.000194503185105725,0.0013133501982481,0.0011800697998117,0.000298383994496899,0.000294186712421949,0.000276441973492608,0.000593791539503347,0.00036591376182153
11/02/2000,0.000535799475901829,0.00057802740274854,0.000697485703600658,0.000411399474943255,0.00133030790686128,0.000333106468317835,0.000246086293372511,0.000319515989279118,0.000899762152535969,0.000535082372575735,0.00023529527351139,0.00118389956713526,0.00048432243997759,0.00016986339551116,0.000547621007227286,0.000310164115246109,0.000460267133593234,0.000550935371018583,0.000347562580674295,0.00139469551734919,0.000331760494659177,0.000357053118867607,0.000472819274989609,0.000495788719845929,0.000210964977977828,0.000342902216557156,0.000429675332296245,0.000141359026190799,0.000495267424412108,0.000363633066998867
