dts,rsv_n_1,rsv_n_2,rsv_n_3,rsv_n_4,rsv_n_5,rsv_n_6,rsv_n_7,rsv_n_8,rsv_n_9,rsv_n_10,rsv_n_11,rsv_n_12,rsv_n_13,rsv_n_14,rsv_n_15,rsv_n_16,rsv_n_17,rsv_n_18,rsv_n_19,rsv_n_20,rsv_n_21,rsv_n_22,rsv_n_23,rsv_n_24,rsv_n_25,rsv_n_26,rsv_n_27,rsv_n_28,rsv_n_29,rsv_n_30
31/01/2000,0.000406683235901226,0.000143225357688494,0.000262985720186152,0.000309568035620243,0.000196527042105126,0.000157777553263783,0.00033214290370044,0.000342943217742833,0.000169023725521021,0.000219243323709464,0.000375374395654771,0.000724860041572057,0.00011461163822906,0.000197492798156572,0.000101485604586633,0.000322784627236186,0.00018266500112975,0.000382623501009548,0.000111595484382216,0.000278864753492501,0.000155495827069226,0.000259838871670854,0.000104057080698436,0.000104296690142642,0.000249354628841458,8.04640816928914e-05,0.000191557355757848,0.00158164233190497,0.000437781828217147,0.000143040170481112
01/02/2000,0.000267493550345122,0.000182602437034898,0.000334238815541272,0.000226510630875357,0.000341843778671525,0.000165229134996817,0.00011026226951506,0.000237390207259708,0.000274547391231316,0.000162725177969709,0.000208429220760385,0.000433890673277001,0.000163383149712347,5.70572735109056e-05,0.000116249255726191,0.000328204664956236,0.000110969895404267,0.000388216706678333,0.000124770713185329,0.000217365644575416,0.00019968595610172,0.000364130071117447,0.000171529966659778,0.000180685500635031,0.000150874720360601,9.24305916567313e-05,0.000189007533878441,0.000791394576037409,0.000338745130735966,0.000160467829268515
02/02/2000,0.00029175490682924,0.000320030898795528,0.000426372115996791,7.66736933312293e-05,9.60712738972166e-05,0.000229847117119297,8.81474237462057e-05,0.000238466290571972,0.000315003027251445,0.000110320548762347,0.000237069892470777,0.000193397453908165,0.000360631141835341,0.000135801947376082,0.000161918100426776,0.000308049246982178,0.000226124209792438,7.52399014372845e-05,0.000289146717460193,0.000293427798642907,0.00036686929107949,0.000505134923541877,0.000176485073335027,0.000236572051372601,0.000157910253316721,8.16733872024392e-05,0.000218502289306348,0.000138831518184929,0.000686215686237609,9.8066183433063e-05
03/02/2000,0.000226174608926478,0.000129200873593633,0.000527947469596229,0.000263708588478691,6.61179218751308e-05,0.000276184744023899,0.000188689353872169,0.00016253501283147,9.60461192407747e-05,0.000730767939167038,0.000357679718041424,0.000165596336546122,0.000394342921534598,0.000131805990970289,0.000297662503881211,0.00040141865753861,0.000175481786848936,0.000219977353610497,0.000204151495579191,0.000200138317520366,0.000392893786621419,0.00012862294442298,0.00044349867051303,0.000189650546652109,0.00019025873267289,0.000124441962640724,0.000260018935868597,0.000323891625303984,0.000450834354854869,7.26236336296449e-05
04/02/2000,5.93007111621115e-05,0.000194216843795027,0.000297108163617321,0.000191064576390832,0.000108416981228976,0.000292217781613634,0.000190274868669063,0.00025028778782995,0.000188486668913616,0.000178403348592364,0.000191495709456393,0.000126201318539342,0.000198095747129782,8.62477116993735e-05,0.00023597371150252,0.000283228675127845,0.000126926680508706,0.000375509874060933,0.000195353104247531,0.000180111599075504,0.000333265175703059,0.000250423950978554,0.000670083545986809,0.000115698203613611,0.000105476939153277,0.000130783553288852,0.000147827618859347,0.000192996271643533,0.000370289801400769,9.9848333210139e-05
07/02/2000,0.000490309711439302,0.000162626061233908,0.000339954181680744,0.000116015388650843,0.000151965832701956,0.000243090690460923,5.53730441430842e-05,0.000229106904547192,9.69291424699031e-05,7.64647876651356e-05,0.000201470890983783,6.3370129372869e-05,0.000160339545787584,0.000106679556708621,0.000149171277886267,0.000426030548540892,0.000160495846641421,0.000329216145646534,0.000131231936846189,0.000280271945914953,0.000108482653996757,0.00017313009971234,0.000122108751170269,0.000529333665740737,9.7739488726385e-05,7.12714048663261e-05,0.000128191174661947,0.000574136343573697,0.000352097526045712,3.4832079473796e-05
08/02/2000,0.000136722116453744,0.000177644485134189,0.000230834444052033,0.00016907511104751,0.000277850909614709,0.000171510043368599,0.000121387954251026,8.62243235384558e-05,8.66440129720931e-05,6.21020039900774e-05,0.000152376988757923,0.000214733084532225,0.000148262215680296,5.04636564252873e-05,9.99335901364922e-05,0.000789518571117107,0.000100231130672075,0.000189842917984142,0.000100162834311126,0.00051923219013621,0.000148359696690203,9.08166271356659e-05,6.89272862843841e-05,0.000924699568235765,0.000151064639645791,0.000280517138444149,0.000129643841911003,6.8722554194681e-05,0.00054179376765724,5.59367760099733e-05
09/02/2000,0.000320738376757694,0.000138382402519671,0.000417972511953171,0.000165865804560995,0.000804021348663614,0.000179267085806954,0.00027184971632819,0.000272377109366364,0.000291345728315486,0.000215163784357163,0.000104764412490859,0.00055611895170105,0.000144441313830008,0.000108252025684199,0.000140546721705971,0.000625498533096504,0.000258002463892006,0.000269825666036173,0.000245874472716417,0.000513432605537813,0.000363532375621601,0.000195384132115757,0.000125830464474564,0.00102476046037495,0.000299759864957277,0.000265795467073795,0.000229003799406439,2.82011212106644e-05,0.000583121055843987,0.000188922291324349
10/02/2000,0.000139851730294933,0.000191847266816785,0.000165807849201606,0.000244181383889899,0.000369016514459162,0.000344405984871234,0.000228013020554989,0.00028660853979277,0.000193732964962416,0.000169363399451274,0.000119800736818774,0.000175062296954673,0.000307707537225871,8.44890450314717e-05,0.000165613504616922,0.000141621754813458,0.000312038837651953,0.000336631788493114,0.000130457785206363,0.000589270313161808,0.00037296484898561,9.06331778498534e-05,0.000110555933480944,0.000545119252947164,0.000788133082411439,0.000195631600851652,0.000161113484771618,0.000234453040546235,0.000326673958898616,0.000190531582062276
11/02/2000,0.000263273422845338,0.000267015682233244,0.000406698411412944,0.000207078272670073,0.000605289234503508,0.000124818744459895,0.000125940952546701,0.000145555672012997,0.000506228150009934,0.000209736751371582,0.000143133867882822,0.000415510575849845,0.000213942804934402,0.000110942258404963,0.00025319272147249,0.000158170351342026,0.00023168548194809,0.000341584543346469,0.000183569411232367,0.000645072077507175,0.000254213280429343,0.000213020202731717,0.000262633843913594,0.000233243468046017,0.000116891998265386,0.000215046362368175,0.000213014959850138,9.77336464133185e-05,0.000193412907230234,0.000272465351783591
