dts,pvar1_1,pvar1_2,pvar1_3,pvar1_4,pvar1_5,pvar1_6,pvar1_7,pvar1_8,pvar1_9,pvar1_10,pvar1_11,pvar1_12,pvar1_13,pvar1_14,pvar1_15,pvar1_16,pvar1_17,pvar1_18,pvar1_19,pvar1_20,pvar1_21,pvar1_22,pvar1_23,pvar1_24,pvar1_25,pvar1_26,pvar1_27,pvar1_28,pvar1_29,pvar1_30
31/01/2000,0.000350015573449342,9.48020704180207e-05,0.000191125043425768,0.000266160239335202,0.000168793847278986,0.000117502400481626,0.000295358378562875,0.000276256166205428,0.000135318567558614,0.000182141960856976,0.000310299239477385,0.000607765297905291,7.40445192165773e-05,0.000120910592913397,6.89038592648289e-05,0.000189381407707165,0.000134538540675512,0.000295462521846933,9.05060300735609e-05,0.000168760607138869,0.000122882512938407,0.000172246435151311,7.99420397067459e-05,8.18955741367351e-05,0.000206486760411274,7.21517862169631e-05,0.000149307433339387,0.00112699474996108,0.000349979803754723,0.000112169077533659
01/02/2000,0.000214208289995023,0.000159334769122855,0.000252049222617453,0.000180381103169272,0.000241862640158987,0.000114458429581236,9.12338134124059e-05,0.000194443686898845,0.000237447653411669,9.48792263320725e-05,0.000161925658938075,0.000433890673277001,0.000125116113880577,3.59980511402566e-05,7.1623059421787e-05,0.000229030406925893,7.34634367805032e-05,0.000256641532995193,9.96688338397254e-05,0.000165572742907382,0.000167079154126218,0.000254123681874847,0.000134182324753931,0.000144639628545205,0.000126299377953769,7.64608192376115e-05,0.000152815064270689,0.000721703169493654,0.000282014884424899,0.000120813451638787
02/02/2000,0.000226042657402226,0.000280701986024914,0.000277347767724707,5.04533021884864e-05,8.36813441551222e-05,0.000154708128810345,6.52395473247482e-05,0.000164036267121219,0.000285921806073267,8.13585754857991e-05,0.000176060539767043,0.000193397453908165,0.000244571580833117,0.000119273795129189,0.000130893069123238,0.000191054970808793,0.000155038369291996,5.74197636273857e-05,0.000253305045331104,0.00021732945046823,0.000292957350481826,0.000359158536971134,0.000123339561575639,0.0002211077213028,0.000122826720884289,7.23530076783784e-05,0.000170866095212825,0.000114340455802344,0.000586626555442184,8.14928465545473e-05
03/02/2000,0.000164302800894713,8.45768678695495e-05,0.00043181397121559,0.000176477782383685,4.96668428663197e-05,0.000193205210150268,0.000139460002038516,0.000117887097418884,6.91293780998453e-05,0.000603003972301927,0.000254940512175178,0.000115118107911263,0.000311106511836798,0.000111203579290501,0.000211094280928438,0.000318416869347753,0.000125521553924812,0.000152782920878138,0.000120556994453406,0.000159360287235652,0.000346707071360738,8.7172814662595e-05,0.000298308187377659,0.000126338026704282,0.000142254041779722,0.000111386801494427,0.000188709356795596,0.000290263435477886,0.000376302487211769,5.97698578267623e-05
04/02/2000,3.42774931065917e-05,0.00013301243437841,0.000236987673225015,0.000135557699155478,8.14443274686605e-05,0.000189818832339267,0.000117122231970101,0.000182103490661246,0.000129818396589122,0.000133927537149879,0.000136285838536464,0.000126201318539342,0.000128092763799168,6.15933452581252e-05,0.000162310042986316,0.000194886098684228,8.5230830424733e-05,0.000294554997339874,0.000164456889043356,0.000102536414335771,0.000296565181754238,0.000184333295601152,0.000598715351317221,7.38354451262355e-05,7.1854024943696e-05,0.000100681775921075,7.77485571344555e-05,0.00017717043434988,0.000322132168126432,9.24567274406598e-05
07/02/2000,0.000449621381449972,0.000120559350321055,0.000253074099069723,9.02023721138131e-05,0.000104245983053851,0.000176992318351029,2.88521110032558e-05,0.000195118470324662,6.67940518344425e-05,5.34975426806548e-05,0.000162401421975713,6.3370129372869e-05,0.000117550000117558,8.77726100339661e-05,9.77053707410585e-05,0.000259624409639613,0.000108147819825909,0.000254030348184547,9.0122456752556e-05,0.00020891057282453,7.62748313348167e-05,0.000107224004720945,0.00011083447244143,0.000489192699566315,6.84103904575499e-05,5.13613661722057e-05,9.49850297018352e-05,0.000522865105225864,0.000297644912868451,3.06134949368161e-05
08/02/2000,0.000108249415335549,0.000115413636242385,0.000176800375639244,0.000102420273101705,0.000227583297157319,0.000151497504947045,8.71829639011348e-05,7.44265966683905e-05,6.88412245575643e-05,3.90687193177338e-05,0.000132196721483093,0.000150539942103103,0.000104775068927366,3.84146134862012e-05,6.40833389821607e-05,0.000649091356626371,7.04777177608768e-05,0.00013924473493907,7.92412064922606e-05,0.000311700426841338,0.000140177062104616,7.32558963534806e-05,5.33374819105106e-05,0.000781677143254657,9.3111871472387e-05,0.000259656145082305,9.47404540614569e-05,6.54076808827252e-05,0.000373988373606817,5.0444109805025e-05
09/02/2000,0.000237715841561445,9.59519506445227e-05,0.000334491104581044,0.000116677798909119,0.00068659693377455,0.000114075211055591,0.000258267716214281,0.000185373663849626,0.00018411471229262,0.000118698600824485,8.09926171739157e-05,0.000486033539773417,9.08025038772319e-05,8.58985686971889e-05,0.00010478629234997,0.000502010070147501,0.000179679031609538,0.000193501939000772,0.000175001205626507,0.000341057847693659,0.000275266636083711,0.000143589671546565,8.80751340917633e-05,0.000699929419992784,0.000259663695087138,0.000241722089427094,0.000187725014178338,2.57959565744276e-05,0.000496596079279049,0.000133529551815814
10/02/2000,9.55798444441972e-05,0.000120434910735242,0.000123442037046446,0.000174344885691323,0.000267863658078904,0.000248968656690969,0.000199616956203443,0.000184711636254153,0.000126132952127236,0.000117260352953133,9.08518770232512e-05,0.000175062296954673,0.00021175939561668,7.0029524756387e-05,0.00011752820438358,9.24997858683794e-05,0.000228618398214963,0.000233381884842429,8.70210892156046e-05,0.000459167643031826,0.000307863653891528,5.5377741392717e-05,9.95968640294835e-05,0.000446166765153118,0.000685608676095317,0.000178996960777772,0.000119028086624469,0.000205052346123738,0.000217019211189029,0.000123670885872849
11/02/2000,0.000208190305127269,0.000183709037605949,0.000272718985157289,0.000139301609956857,0.000439083520523267,8.81942931445884e-05,9.41968477662619e-05,9.64251456644613e-05,0.000340668873620844,0.000165159390854074,0.000107330715257502,0.000357011891550378,0.000127979324185946,9.74154889815289e-05,0.000204019401408808,0.000101231686289364,0.000149085606408238,0.0002764180881597,0.000126875805428263,0.000415619157046843,0.000192799777744695,0.000136773381529158,0.000195965985985508,0.000195142045234144,9.12737184557639e-05,0.000169426302647835,0.000170057862416959,7.47255398490699e-05,0.000127619800035507,0.000231938790278469
