dts,rsv_p_1,rsv_p_2,rsv_p_3,rsv_p_4,rsv_p_5,rsv_p_6,rsv_p_7,rsv_p_8,rsv_p_9,rsv_p_10,rsv_p_11,rsv_p_12,rsv_p_13,rsv_p_14,rsv_p_15,rsv_p_16,rsv_p_17,rsv_p_18,rsv_p_19,rsv_p_20,rsv_p_21,rsv_p_22,rsv_p_23,rsv_p_24,rsv_p_25,rsv_p_26,rsv_p_27,rsv_p_28,rsv_p_29,rsv_p_30
31/01/2000,0.000420965432717313,0.000259069667459345,0.00023967096422962,0.000654136975009238,0.000345834543699983,0.000238317874582845,0.000287239753001679,0.000299720465505506,0.00037111216171952,0.000304935104782127,0.000351706601209951,0.000813490923078827,0.000355877801675556,0.000158996323072706,0.000134459630054126,0.000430873611227292,0.000225796441399264,0.000809965770460141,0.000295417615295643,0.000214077638859732,0.000663447611766462,0.000437077299454595,0.000486383663002433,0.000219892692932002,0.000168668997335876,0.000161433285780891,0.000990444717242567,0.00153434246248863,0.000307018107203051,0.00018506007571903
01/02/2000,0.000259733126260866,0.000158709916820998,0.000595547814280517,0.000147956804593548,0.000394246481225781,0.000148134754770771,5.55592224335772e-05,0.00069547509626702,0.000179348301346212,0.000161179099800377,0.000181662899346292,0.000552974324927102,0.000175616750284828,0.000153756122601618,0.000152054652547748,0.000182441230476652,0.000201345553770389,0.00027846193751372,0.000285628425193146,0.000538759777713109,0.00036953020090161,0.00024163396614785,0.000160222158022219,0.000294783125426118,0.000135080334594935,0.00011644683651903,0.000223609510066672,0.000831578654195646,0.000558757446574612,0.000139067314325467
02/02/2000,0.000249292527768402,0.000271934932002468,0.000539433519428367,0.000146501479003667,0.000181871126572349,0.000336754976349058,0.000101885761918713,0.000199535409290571,0.000191600184740465,0.000180321085305352,0.000237821621886553,0.000360549164603001,0.000242684496034285,0.000173363031625013,0.000336895473759222,0.00017797433027951,0.0001445054747722,0.000158213137167241,0.000149714687472839,0.000234889425689261,0.000162856429084088,0.000534554806326682,0.000176347065311554,0.000429158365906812,0.000138317865266827,4.79314758753283e-05,0.000234494022382201,8.97449749391187e-05,0.00068950513276965,0.000184404927384291
03/02/2000,0.000293192911801705,0.000285758067828716,0.000249327600109184,0.000206714201767478,0.000137795607869672,0.000204901001317035,0.000120802487036281,0.000182768733053568,0.000101970973039574,0.000343132003630906,0.000295918990468296,0.000140633319325932,0.000404964089990535,0.000150672966790492,0.000159966330332342,0.000309859109853195,0.000272015788292933,0.000206215801455102,0.000161667753894431,0.000171770473629893,0.000255995038096145,0.00019873330508987,0.000520139375265662,0.000145659085873936,0.000157451567571088,7.73194052716572e-05,0.000170100545998985,0.000427895944950207,0.000470492553101121,7.50766684162396e-05
04/02/2000,8.06306228557266e-05,8.09570642427029e-05,0.000191279094849115,8.1452361501631e-05,0.000159427333835635,0.000195297705897402,0.000147086967263571,0.000223753327877636,9.71535570795912e-05,7.54087602212728e-05,0.000313306212902769,0.000164149985185421,0.000132358055078805,0.000135719305477836,0.000225367843975403,0.000133666450679304,9.87921409500147e-05,0.000356020029096435,0.000109794798532511,0.000247203495747217,0.000233168460908655,0.000130536873963691,0.000195409789075659,7.71145986155342e-05,0.000310065415034678,0.000162808664914714,0.000126914483419583,0.000185061401986867,0.000330958622874497,0.000136701899722685
07/02/2000,0.000115666150815714,0.000119750415675519,0.000215019229436734,0.000184605704616944,0.0003931082333773,0.000204475504680056,7.78977522685641e-05,7.00390762547227e-05,0.00018298569251445,0.000139959761594055,0.000224463436548781,0.000124436142155873,0.000208234177284592,0.000121497778690735,0.000176244553682892,0.000389493890105025,4.92971401493288e-05,0.000174891040641636,0.000237230243325098,0.000247192407312828,0.000395011987735974,0.000194076199809618,0.000234470634631669,0.000166070458438668,8.33565586794683e-05,8.09560286290195e-05,0.000256647672587058,0.000322632760164712,0.000251860382332552,2.6392336057083e-05
08/02/2000,0.000304771110036918,0.000234906172709788,0.000428852400488967,0.000147321956897184,0.000207482891452584,0.000273421922871417,0.000112536916808267,0.000141366225878053,8.04292710502132e-05,0.000270954592281063,0.000134313500215688,0.000176041065087018,0.000343768719298086,5.2435179781442e-05,0.000191566542690852,0.00074297801643265,0.00010779527978447,0.000159361880107571,7.07192946904893e-05,0.000321461213044431,0.000172047760727923,0.000178783412702551,0.000284345295489994,0.00122993584448139,0.000118459684219612,0.000146245499204935,8.35427764442587e-05,0.00013830034532905,0.000789460405598667,0.000173536749397807
09/02/2000,0.000114999109349065,8.06443856006297e-05,0.000130017309035524,0.000167823396095599,0.000333405384722069,0.000190586797734304,5.7641937195852e-05,0.000139429650037619,0.00015918574949228,0.000188252308247608,0.00015154096015523,0.000624683201796059,9.35670096635283e-05,4.89642275992069e-05,0.00015152370076546,0.00051303265822749,0.000147448352645635,0.000594846063656501,7.98647691314234e-05,0.000403522957017337,0.000172270631082588,0.000143103037300678,4.70928007540374e-05,0.00101723956064443,0.000303648009100278,0.000147718955245735,0.000147666317547379,8.21691067168249e-05,0.000185078616760417,7.08249212471654e-05
10/02/2000,0.000176290197305499,8.59763730895672e-05,0.000182765923804487,0.000196616707709092,0.000758686561433557,0.000241704800868588,0.000148044027566536,0.000372593419926017,0.000125384755794232,0.000150949119384775,0.000107599260519559,0.00055714923159918,0.000201783193858765,4.59813029985283e-05,0.000224529662262947,0.000159101360255428,0.000296489279506029,0.000264899590773837,0.000120527081045397,0.000581950206265336,0.000173791235424927,0.000137587968439859,8.39472516247808e-05,0.000768230945300934,0.000391936717400265,0.000102752393645248,0.000133073227650331,4.19889329463731e-05,0.000267117580604731,0.000175382179759254
11/02/2000,0.000272526053056491,0.000311011720515296,0.000290787292187714,0.000204321202273182,0.000725018672357767,0.00020828772385794,0.00012014534082581,0.000173960317266121,0.000393534002526035,0.000325345621204153,9.21614056285678e-05,0.000768388991285419,0.000270379635043188,5.89211371061961e-05,0.000294428285754797,0.000151993763904083,0.000228581651645144,0.000209350827672113,0.000163993169441928,0.000749623439842011,7.75472142298336e-05,0.000144032916135891,0.000210185431076015,0.000262545251799912,9.40729797124418e-05,0.000127855854188981,0.000216660372446107,4.36253797774803e-05,0.000301854517181874,9.1167715215276e-05
