dts,pvar2_1,pvar2_2,pvar2_3,pvar2_4,pvar2_5,pvar2_6,pvar2_7,pvar2_8,pvar2_9,pvar2_10,pvar2_11,pvar2_12,pvar2_13,pvar2_14,pvar2_15,pvar2_16,pvar2_17,pvar2_18,pvar2_19,pvar2_20,pvar2_21,pvar2_22,pvar2_23,pvar2_24,pvar2_25,pvar2_26,pvar2_27,pvar2_28,pvar2_29,pvar2_30
31/01/2000,8.71821287994107e-05,6.10434358613712e-05,8.75552779196902e-05,0.000106418882969295,4.22946131962631e-05,5.19525885390085e-05,5.38829886530562e-05,8.16787157068641e-05,5.56126448073212e-05,9.74990269588281e-05,9.41356156918515e-05,0.000194922578118702,7.08963200174102e-05,8.85526346784356e-05,5.33750931139198e-05,0.000161199864688869,5.84586646311285e-05,0.000114600521189253,4.46229842462256e-05,0.000126560045664756,8.4633778557705e-05,0.000102505294348874,5.02862130942031e-05,3.35077620085281e-05,4.99069737159097e-05,1.50960489832803e-05,6.68652709917258e-05,0.000484045643229467,0.000123734923450559,3.18986498837416e-05
01/02/2000,6.066237287778e-05,3.34505339273439e-05,0.00013999634640052,5.81219645896651e-05,0.000113015826069676,5.90258113085268e-05,2.39211624051819e-05,9.23747494818455e-05,4.3700191221497e-05,8.27342376272639e-05,6.22000406042802e-05,0,6.21484466014555e-05,2.52297460476675e-05,5.9494620106096e-05,0.000107558817956493,4.50854455893725e-05,0.000184088555342045,3.38652649189375e-05,7.46421276057105e-05,7.06256653360086e-05,0.000118143761936237,4.10560900328945e-05,5.58799534192195e-05,4.65982444259905e-05,1.90102088759036e-05,5.78689811770146e-05,9.86920248971433e-05,8.90326814824101e-05,4.37856542304638e-05
02/02/2000,7.86706846127225e-05,4.2770947294269e-05,0.000179084009429127,4.09749671540863e-05,2.47439263066303e-05,7.9508957533615e-05,2.66324190325936e-05,8.71991898307643e-05,3.94217744114885e-05,5.10578773271111e-05,7.17843951037458e-05,0,0.000143337058499903,1.6528152246893e-05,7.87664581237649e-05,0.000116994276173385,7.79536225376208e-05,2.49535665132114e-05,4.33465881370045e-05,8.20023429822053e-05,9.46140776330838e-05,0.00018952461792351,6.23551023735481e-05,3.26333784846098e-05,4.4880632415212e-05,1.46657264730042e-05,6.10524801801335e-05,2.4491062382585e-05,0.00014270987147802,2.89984942806731e-05
03/02/2000,7.40310606219214e-05,5.62593672293364e-05,0.000106945303102442,0.000102601514207899,2.02512888859566e-05,9.43415012149012e-05,5.31711035237109e-05,5.33670652735039e-05,3.29740351138338e-05,0.000147197095751955,0.000115292541226975,5.04782286348589e-05,9.88958238614736e-05,2.06024116797878e-05,9.73359302633836e-05,0.000121201704114194,7.19461793000211e-05,7.76953222452076e-05,9.63176031778051e-05,4.07780302847138e-05,4.6186715260681e-05,6.05928114075671e-05,0.000148589812718685,6.6775165290367e-05,4.80046908931686e-05,1.30551611462968e-05,8.15148863330068e-05,3.36281898260987e-05,8.83730138149995e-05,1.28537758028826e-05
04/02/2000,3.79723705251423e-05,6.81657558379331e-05,7.09981755815038e-05,6.14544718535821e-05,3.4325697694771e-05,0.000112144675031823,7.87966510982305e-05,8.39045136064441e-05,7.02401453375109e-05,4.44758114424856e-05,7.0672686815633e-05,0,7.77864333279901e-05,2.46543664412483e-05,8.44577677605007e-05,0.000103900912765377,5.19070582698251e-05,0.000126093311174776,4.04403731651793e-05,9.07726884403714e-05,6.41279909065774e-05,7.99385406305734e-05,9.05926572974255e-05,5.05535425626724e-05,4.079328282137e-05,3.17637488494187e-05,7.44638220720382e-05,1.58258372936527e-05,6.85944091429844e-05,1.3675453822412e-05
07/02/2000,4.55389154169496e-05,4.40471099536333e-05,9.84628829051915e-05,4.0825057342685e-05,6.08101154044528e-05,8.02816087476134e-05,2.94628111139873e-05,3.8313220280307e-05,4.69305156697957e-05,5.16132111538584e-05,5.22715618833045e-05,0,5.88265150162451e-05,2.50733649431491e-05,8.11118072267321e-05,0.000195169981451033,5.39558670085624e-05,8.53293674671453e-05,5.23524152837407e-05,7.36397648420376e-05,5.84716199810949e-05,7.58647804160083e-05,1.93148041366374e-05,5.34401861350778e-05,2.93290982688352e-05,1.99100386941204e-05,4.06446046381436e-05,6.39212620133697e-05,7.36875269927813e-05,4.21858453697992e-06
08/02/2000,3.0419781264632e-05,7.60294307105867e-05,9.2461880154144e-05,7.02117400610059e-05,5.75425097353476e-05,3.91330827926674e-05,4.00042692996282e-05,2.14626296835765e-05,2.05416372818752e-05,4.25723739413899e-05,3.67651024287687e-05,6.41931424291223e-05,5.10902334540243e-05,1.20490429390861e-05,5.50882011034172e-05,0.00017583766268347,3.73905276512621e-05,8.72952192410791e-05,2.63878331587368e-05,0.00023107066368417,3.29028592339606e-05,2.52117631644412e-05,3.01667926563835e-05,0.000165965730209311,5.79527681734045e-05,2.77887659251777e-05,3.49033878495464e-05,3.31487331195587e-06,0.000242784464924269,1.42483121976953e-05
09/02/2000,9.27758268054903e-05,4.57250805306938e-05,0.00010085337056009,5.24902422911753e-05,0.000121161835045718,7.60897858995945e-05,1.82823589151826e-05,9.23806373488882e-05,0.000111743990249921,0.000110677947436362,4.39720796159663e-05,7.00854119276335e-05,7.22284187532265e-05,2.23534569870103e-05,6.32000282038892e-05,0.000144571449710992,8.29324503205172e-05,0.000115917398985507,7.22535130229529e-05,0.000191558130613257,0.000113970147141255,6.28957991293845e-05,3.7755330382801e-05,0.000334395870710026,4.00961698701398e-05,2.40733776467011e-05,4.76117731749932e-05,2.40516463623681e-06,0.000102279057999903,5.53927395085351e-05
10/02/2000,5.83302661368933e-05,7.48993828334417e-05,5.05457935046507e-05,8.16317890071306e-05,0.000107767290418212,0.000101228831687179,2.96244380017153e-05,0.000122900582786924,7.32957442103116e-05,5.57702205081054e-05,3.97552750453819e-05,0,0.000112579563527577,1.44595202750847e-05,7.31553200846316e-05,6.42923907477912e-05,9.93013961108955e-05,0.000118724010480661,4.59589421972742e-05,0.000164315542171263,7.42867958876174e-05,4.47491905079232e-05,1.19934683435159e-05,0.000133204073045867,0.000107874044061762,1.75442667668745e-05,4.52900174991241e-05,2.94006944224965e-05,0.000128221197757188,6.80722709690847e-05
11/02/2000,6.52800214516455e-05,8.53364668703923e-05,0.000146292515590277,7.39064121358121e-05,0.000190483562469383,4.93270125477452e-05,4.01235768602445e-05,6.33746633045372e-05,0.000177807294047084,5.74825669907574e-05,4.46933482832405e-05,8.77461114398867e-05,9.39778162472094e-05,1.35267694234345e-05,9.5825694578969e-05,7.57453282573638e-05,9.24886593744395e-05,9.4286072737945e-05,6.57837761494671e-05,0.000241345372497987,6.14135026846481e-05,7.85306455678928e-05,6.81989738198986e-05,5.17192863473259e-05,2.56182798096218e-05,4.56200597203403e-05,4.95402069831671e-05,2.30081065642486e-05,8.03487369755579e-05,4.05265615051224e-05
